"","SibSp","Parch","Fare","fit_test"
"254",0,0,9.325,"0"
"255",0,0,9.5,"0"
"258",0,0,8.05,"0"
"259",0,0,13,"0"
"260",0,0,7.775,"0"
"261",1,0,17.4,"1"
"262",0,0,7.8542,"0"
"263",0,2,23,"1"
"264",1,1,12.1833,"1"
"265",0,0,12.7375,"1"
"270",0,0,8.6625,"0"
"271",0,0,75.2417,"1"
"273",1,0,136.7792,"1"
"276",1,0,26,"1"
"277",0,0,10.5,"0"
"278",1,0,26,"1"
"279",1,0,21,"0"
"280",0,0,10.5,"0"
"281",0,0,8.6625,"0"
"282",1,1,13.775,"0"
"284",1,1,15.2458,"0"
"285",1,1,20.2125,"0"
"286",0,0,7.25,"0"
"288",1,0,82.2667,"0"
"292",0,0,6.95,"0"
"294",1,1,81.8583,"0"
"295",0,0,9.5,"0"
"296",0,0,7.8958,"0"
"297",1,2,41.5792,"1"
"299",0,0,45.5,"0"
"300",0,0,7.8542,"0"
"301",0,0,7.775,"0"
"303",0,1,21,"1"
"304",0,0,8.6625,"0"
"306",1,1,26.55,"1"
"307",1,2,151.55,"0"
"308",0,1,9.35,"1"
"309",1,1,93.5,"1"
"310",1,0,14.1083,"1"
"311",0,0,8.6625,"0"
"312",0,0,7.225,"0"
"314",0,0,7.75,"0"
"315",0,0,135.6333,"1"
"316",0,0,7.7333,"1"
"317",1,0,146.5208,"1"
"318",0,0,10.5,"0"
"319",0,0,7.8542,"0"
"320",2,0,31.5,"1"
"321",0,0,7.775,"0"
"322",0,0,7.2292,"0"
"323",0,0,13,"0"
"324",0,0,26.55,"1"
"325",0,0,211.3375,"1"
"326",0,0,7.05,"0"
"327",2,1,39,"1"
"328",0,0,79.2,"0"
"329",1,0,26,"1"
"330",0,0,13,"0"
"331",0,2,36.75,"1"
"332",0,0,29.7,"0"
"334",1,1,15.7417,"1"
"335",0,0,7.8958,"0"
"336",0,0,26,"0"
"337",0,0,13,"0"
"338",0,2,7.2292,"0"
"339",0,0,31.5,"1"
"341",0,0,10.5,"0"
"342",0,0,7.5792,"0"
"344",0,1,512.3292,"1"
"346",0,0,7.65,"0"
"347",0,0,13,"0"
"348",0,0,7.2292,"0"
"349",0,0,13.5,"0"
"350",0,0,21,"1"
"351",0,1,63.3583,"1"
"352",0,0,10.5,"0"
"353",0,0,73.5,"0"
"354",1,2,65,"1"
"355",1,2,20.575,"1"
"356",0,0,26,"0"
"357",2,0,51.4792,"1"
"360",1,0,15.55,"0"
"361",8,2,69.55,"0"
"362",1,1,37.0042,"0"
"363",0,0,21,"1"
"364",0,0,8.6625,"0"
"365",1,0,55.4417,"1"
"368",0,0,39.6875,"0"
"369",0,1,59.4,"1"
"370",0,0,13.8583,"1"
"371",1,0,11.5,"0"
"372",0,0,134.5,"1"
"373",0,0,0,"0"
"374",0,0,13,"0"
"375",1,1,81.8583,"0"
"376",0,0,262.375,"1"
"377",2,0,8.6625,"0"
"378",0,0,11.5,"0"
"379",0,0,50,"0"
"380",4,2,31.3875,"1"
"382",0,0,7.8792,"1"
"384",1,0,16.1,"0"
"386",1,2,65,"1"
"387",0,0,7.775,"0"
"388",0,0,13,"0"
"389",0,0,7.75,"0"
"390",3,1,21.075,"0"
"391",0,0,93.5,"1"
"392",0,1,39.4,"1"
"393",0,2,20.25,"0"
"394",0,0,10.5,"0"
"395",3,1,22.025,"0"
"396",1,0,60,"1"
"397",0,0,7.25,"0"
"398",1,1,79.2,"1"
"399",0,0,7.775,"0"
"400",0,0,7.7333,"0"
"401",0,0,164.8667,"1"
"402",1,0,21,"0"
"403",0,1,59.4,"1"
"404",0,0,47.1,"0"
"405",1,0,27.7208,"0"
"406",0,0,13.8625,"1"
"407",1,0,10.5,"0"
"408",1,1,211.5,"1"
"410",1,1,13.775,"0"
"412",1,0,90,"1"
"413",0,0,7.775,"0"
"415",0,0,108.9,"0"
"416",0,0,7.25,"0"
